filename	result
23019330.O20.txt	תהליך זה נמשך בגמר הדיון היום, בלקיחת אחריות מלאה... המערער חזר בו מערעורו על הכרעת הדין.
22032000.P08.txt	לטעמי, אין מקום להתערב בשיקול הדעת של המשיבה בהקשר זה... סוף דבר, דין העתירה להידחות.
22010740.X06.txt	סיכומו של דבר, כל השיקולים הנדרשים בעניינם של המערערים הובאו בחשבון ולא נפלה בגזר דינו של בית המשפט המחוזי כל טעות המצדיקה התערבותנו... בנסיבות אלה, אציע לחבריי לדחות את הערעור.
23015880.E02.txt	לא ראינו אפוא מקום להתערב בהחלטת המפקד הצבאי ולא מצאנו כי נפל פגם בהכרעות בתי המשפט הצבאיים בעניינו של העותר, לאור המסוכנות הנשקפת מהעותר לשלום הציבור ובטחונו... אשר על כן, העתירה נדחית.
23060140.E03.txt	סוף דבר: לא ראינו מקום להתערב בהחלטת המפקד הצבאי לגבי הצו הנוכחי ואף לא מצאנו כי נפל פגם בהכרעות בתי המשפט הצבאיים בעניינו של העותר, נוכח המסוכנות הנשקפת מהעותר לשלום הציבור ובטחונו... אשר על כן, העתירה נדחית.
23021700.P05.txt	ואולם, כאמור, תביעת המזונות נמחקה... אלא שהעותר לא העלה במסגרת העתירה טענות כנגד שיקול הדעת של בית הדין האזורי לעיכוב יציאה מהארץ לצורך דיון בתביעת הגירושין, וממילא לא הוכיח שיש להתערב בקביעת בית הדין הרבני הגדול להותיר את הצו על כנו ולהותיר בידי בית הדין האזורי לתקנו ככל שיש צורך בכך.
21079460.E05.txt	סוף דבר, שהעתירה נדחית... העותר יישא בהוצאות המשיבים בסך 1,000 ₪.
22014200.Y03.txt	הבקשה לצו ביניים נדחית אף היא... לפנים משורת הדין, אין צו להוצאות.
21010890.J04.txt	משכך, לא נדרש צו הרחבה לשימוש בתוצרי האזנת הסתר להוכחת העבירות שיוחסו למשיב בכתב האישום שהוגש נגדו... ובמישור האופרטיבי, אני סבורה כחבריי שיש לקבל את הערעור ולהחזיר את התיק לבית המשפט המחוזי כדי שידון בהרשעת המשיב בעבירת מרמה והפרת אמונים.
23041680.E02.txt	ביום 5.3.2023 הודיעה התביעה הצבאית לבית המשפט הצבאי על התקלה שנפלה, אשר הובילה לכך שהצו השני הוצא עבור תאריכים לא נכונים, שכן הצו הראשון אמור היה לפקוע רק ביום 28.8.2023; צוין כי הצו השני תוקן כך שיחול החל מיום 28.2.2023 ועד ליום 27.8.2023 (להלן: הצו השני המתוקן); וכי בשל השינוי מתבקש שבית המשפט יבחן את הצו השני המתוקן בהקדם... ביום 12.3.2023 אישר בית המשפט הצבאי את הצו השני המתוקן; וביום 7.5.2023 דחה בית המשפט הצבאי את ערעורו של העותר.
21026650.Z06.txt	ברם, גם במצב זה, הסדר הטיעון הוא המחייב והעיניים מופנות למשיב בתור נאשם, הן בשל היותו הצד החלש בהסדר והן בשל הכלל של ניהול משפט הוגן כלפי נאשם... לנוכח כל האמור לעיל, אציע לחבריי לדחות את הערעור, אם כי מנימוקים שונים מבית משפט קמא, כפי שהובהר לעיל.
23028400.J09.txt	לאור הדברים שהשמיעה אמו של התינוק לפני בית המשפט המחוזי, נחתם גזר הדין בהערה שלפיה אין זה ברור מדוע התינוק ומשפחתו אינם זוכים לסיוע כספי משמעותי יותר מהרשויות... כל סיוע שהדין מעניק לתינוק ולהוריו – ראוי שיקבלו לאלתר, ככל שלא נעשה כן עד כה.
22048250.A01.txt	ממילא נדחית גם הבקשה למתן צו ביניים... משלא התבקשה תשובה אין צו להוצאות.
21078000.A07.txt	"המערער יתייצב לריצוי עונשו בימ""ר הדרים ביום 30.6.2022 עד לשעה 10:00 כשברשותו תעודת זהות או דרכון."
21069180.F09.txt	שנית וזאת העיקר: גם אילו היה מדובר בטענה מבוססת, לא היה בה כדי לסייע למערער אחרי שידענו כי הלה פעל כפי שפעל – בתחכום, בעורמה ובנחישות – מתוך בצע כסף... יחד עם זאת, נסיבות ביצוע העבירות, ובהן: המספר הגדול של הקורבנות; סכומי הכסף הגבוהים שסחט מהם המערער במשך תקופה ארוכה; תחכומה של התכנית העבריינית; נחישותו של המערער להוציאה לפועל; הנזקים הממשיים שנגרמו למתלוננים; עברו הפלילי של המערער שכולל הרשעות בעבירות דומות; וכן העובדה כי המערער לא שינה את דרכיו חרף ההליכים הטיפוליים – כל אלו מצדיקים את העונש מושא הערעור.
23008170.O03.txt	"במובן זה, הציבור כולו ניזוק מהדברים, וכדברי הרמב""ם, אפשר כי אף לא פחות מהצדדים הנצים עצמם... בתוך כך, מקובל עלי כי דברי המבקשת מושא הליך זה באים בגדר הבעת דעה בנוגע להתנהגות המשיב בתפקידו הציבורי; וכי הפרסום לא חרג מתחום הסביר בנסיבות העניין, כפי שהובהר בחוות-דעתו המקיפה של חברי."
22041220.C05.txt	"מנגד, בחנו את התנהלות העותרת והצידוק שבהגשת העתירה, היקף המשאבים שהוקצו לשם ניהול תיק זה, תוך בחינת השאלה ""האם עצם הגשת העתירה היא שהניעה את המשיב לחזור בו מהחלטה קודמת שלו ולהעניק לעותר את הסעד המבוקש בעתירה עוד לפני שזו שהתבררה בבית המשפט"" (בג""ץ 842/93 אל נסאסרה נ' שר הבינוי והשיכון, פ""ד מח(4) 217 (1994); ראו גם את הדוגמאות הרבות המובאות אצל ברק-ארז, בהערות שוליים 200-199) – למותר לציין כי בענייננו אין חולק בדבר נפקות העתירה בהקשר זה... כל זאת מבלי להתעלם מכך שהעותרת הוסיפה לעמוד על עתירתה, לאחר קבלת התגובה המקדמית מטעם המשיבים, בד בבד עם טענותיה בדבר פסיקת הוצאות."
23069680.Y07.txt	לבסוף, מאחר שהנאשם הודה בעובדות כתב האישום באופן שייתר את הצורך בשמיעת דיוני ההוכחות, הרי שהנפגעים לא העידו בפני בית המשפט... במצב דברים זה, החשיבות שבקבלת תסקיר בעניינם או שמיעת קולם בדרך אחרת מתחדדת ביתר שאת.
22071900.A03.txt	העתירה נדחית אפוא, ועמה גם הבקשה למתן צו ביניים... בנסיבות העניין, אין צו להוצאות.
22047620.M22.txt	משכך, לו תישמע דעתי ערעורו של כנפו על גזר הדין יתקבל, במובן זה שעונש המאסר בפועל שהוטל עליו יועמד על 4 שנות מאסר בפועל, בניכוי ימי מעצרו... ערעורו של דרי על גזר הדין יתקבל, במובן זה שעונש המאסר בפועל שהוטל עליו יופחת ל-4 שנות מאסר בפועל, בניכוי ימי מעצרו.
21030510.E15.txt	ראוי היה לעותרות להסכים לדחיית העתירה לאור פסק הדין בעניין מחאמיד... עם זאת, לאור חשיבות הנושא שהועלה בעתירה ולפנים משורת הדין, לא ייעשה צו להוצאות.
23037230.E02.txt	ביום 6.3.2023 הוארך מעצרו המנהלי של העותר לתקופה של כשישה חודשים נוספים, החל מיום 7.3.2023 ועד ליום 6.9.2023 (להלן: הצו השני)... ביום 12.3.2023 אישר בית המשפט הצבאי את הצו השני; וביום 17.5.2023 דחה בית המשפט הצבאי לערעורים את ערעורו של העותר.
22059530.C05.txt	אוסיף ואציין כי נסיבות העבירה, המוזכרות בפסק דינו של חברי, השופט ח' כבוב, ובעיקר – הצתת המשרד כאשר ידוע למשיב כי מצויים בו אנשים וכי הבנזין שנשפך, במתכוון ובמסגרת מעשה ההצתה, אף ניתז עליהם – מצדיקות החמרה במתחם הענישה... אשר על כן, הוחלט כאמור בפסק דינו של השופט ח' כבוב.
23084740.N03.txt	משעומד לעותר סעד חלופי להעלאת טענותיו, אין מקום להידרש להן באכסניה זו... העתירה נדחית אפוא.
22056330.O02.txt	רף הענישה, אמור אפוא לשקף פערים משמעותיים אלה... כל יתר רכיבי גזר הדין – יעמדו בעינם.
23017880.E03.txt	אשר על כן, הערעור נדחה... רשמנו לפנינו את התנהלותו החיובית של המערער בכלא, ומבלי לקבוע מסמרות, ייתכן כי נוכח מצבו הרפואי והעדר עבר פלילי – הדבר יעמוד לזכותו בבוא היום.
23029760.E03.txt	לא ראינו אפוא מקום להתערב בהחלטת המפקד הצבאי ולא מצאנו כי נפל פגם בהכרעות בתי המשפט הצבאיים בעניינו של העותר, לאור המסוכנות הנשקפת מהעותר לשלום הציבור ובטחונו... אשר על כן, העתירה נדחית.
